task_identifier,task_description,task_app,num_apps,is_cross_app,category,requires_ui_memory,shortcut_potential,output_type,golden_steps,task_difficulty,task_language
001-FindProductAndFilter,"Open the Amazon app, search for ""running shoes for men"", then filter for the brand ""ASICS"" and size ""10"". ",['Amazon'],1,N,"['E-commerce: Product Search', 'E-commerce: Filter & Sort']",N,2,UI Interactive Output,11,1,ENG
002-FindProductAndFilter,"Open the Amazon app, search for ""women's handbag"", then filter for the brand ""ALDO"" and color ""Black"". ",['Amazon'],1,N,"['E-commerce: Product Search', 'E-commerce: Filter & Sort']",N,2,UI Interactive Output,11,1,ENG
003-RecordAndNameAudio,"Open the audio recorder app. Set the recording format to WAV, 48 kHz, Mono. Record an audio clip for more than 10 seconds, then stop the recording. Save the file with the name ""MyTestAudio"".",['audio recorder'],1,N,"['Content Creation: Multimedia Creation', 'Device Configuration: Setting Adjustment']",N,1,Action Execution Task,12,1,ENG
004-ConfigureRecordAndNameAudio,"Open the audio recorder app. Set the recording format to M4a, 8 kHz, 48kbps. Record an audio clip for more than 15 seconds, then stop the recording. Save the file with the name ""M4aTestAudio"".",['audio recorder'],1,N,"['Device Configuration: Setting Adjustment', 'Content Creation: Multimedia Creation']",N,1,Action Execution Task,12,1,ENG
005-SearchSportsScores,"Open the BBC Sports app, find and tap on the Football category, proceed to 'Scores & Fixtures', and then perform a search for 'Real Madrid'.",['BBC Sports'],1,N,"['Sports: Content Navigation', 'Sports: Data Extraction']",N,1,UI Interactive Output,8,1,ENG
006-SearchSportsScores,"Open the BBC Sports app, navigate into the Football section, open the 'Scores & Fixtures' view, and then execute a search for 'Bayern Munich'",['BBC Sports'],1,N,"['Sports: Content Navigation', 'Sports: Data Extraction']",N,1,UI Interactive Output,8,1,ENG
007-AddDetailedTransaction,"Open the bluecoins app, record an expense transaction for an amount of 89.95, named 'New Sneakers', in the 'Clothing' category, and assign the label 'Personal' to it.",['bluecoins'],1,N,['Financial Management: Add Transaction'],N,1,Action Execution Task,10,1,ENG
008-AddDetailedTransaction,"Open the bluecoins app, create an expense entry for a 'Summer Dress' with an amount of 65.00, categorized under 'Clothing', and add the 'Personal' label to the transaction.",['bluecoins'],1,N,['Financial Management: Add Transaction'],N,1,Action Execution Task,10,1,ENG
011-SetMeetingAlarmByWorldClock,"Open the Clock app and add 'Beijing, China' and 'New-York, USA' to the world clock. By comparing their current times, find a suitable meeting time for tomorrow that falls between 8 AM and 10 PM in both cities. Then, set an alarm for this meeting, using the local time in Beijing as the reference.",['Clock'],1,N,['Productivity: Time Management'],Y,1,Action Execution Task,13,1,ENG
012-SetMeetingAlarmByWorldClock,"Open the Clock app and add 'Beijing, China' and 'Buenos Aires, Argentina' to the world clock. By comparing their current times, find a suitable meeting time for   tomorrow that falls between 9 AM and 11 PM in both cities. Then, set an alarm for this meeting, using the local time in Beijing as the reference.",['Clock'],1,N,"['Productivity: Time Management', 'Device Configuration: Setting Adjustment']",Y,1,Action Execution Task,15,1,ENG
015-CreateSimpleNote,"Open the joplin app, create a new note with the title ""Shopping List"" and the content ""Milk and bread"".",['joplin'],1,N,"['Productivity: Note Taking', 'Content Creation: Text Creation']",N,1,Action Execution Task,7,1,ENG
016-CreateSimpleNote,"Open the joplin app, create a new note with the title ""Meeting Minutes"" and the content ""Discuss progress on Project A"".",['joplin'],1,N,"['Productivity: Note Taking', 'Content Creation: Text Creation']",N,1,Action Execution Task,7,1,ENG
017-SearchAndCompareRatings,"In the Meesho app, find the first search result for three sarees: ""Banarasi Silk"", ""Kanjivaram Silk"", and ""Paithani Silk"". For each, remember its star rating and price. Then, navigate to the product page of the saree with the best value (highest rating-to-price ratio).",['Meesho'],1,N,"['E-commerce: Product Search', 'E-commerce: Price Comparison', 'Information Retrieval: Data Extraction']",Y,3,UI Interactive Output,23,1,ENG
018-SearchAndCompareRatings,"In the Meesho app, find the first search result for three kurtas: ""Chikankari Kurta"", ""Rayon Anarkali Kurta"", and ""Jaipuri Cotton Kurta"". For each, remember its star rating and price. Then, navigate to the product page of the kurta with the best value (highest rating-to-price ratio).",['Meesho'],1,N,"['E-commerce: Product Search', 'E-commerce: Price Comparison', 'E-commerce: Review Analysis']",Y,3,UI Interactive Output,23,1,ENG
