task_identifier,task_description,task_app,num_apps,is_cross_app,category,requires_ui_memory,shortcut_potential,output_type,golden_steps,task_difficulty,task_language
001-FindProductAndFilter,"Open the Amazon app, search for ""running shoes for men"", then filter for the brand ""ASICS"" and size ""10"". ",['Amazon'],1,N,"['E-commerce: Product Search', 'E-commerce: Filter & Sort']",N,2,UI Interactive Output,11,1,ENG
002-FindProductAndFilter,"Open the Amazon app, search for ""women's handbag"", then filter for the brand ""ALDO"" and color ""Black"". ",['Amazon'],1,N,"['E-commerce: Product Search', 'E-commerce: Filter & Sort']",N,2,UI Interactive Output,11,1,ENG
003-RecordAndNameAudio,"Open the audio recorder app. Set the recording format to WAV, 48 kHz, Mono. Record an audio clip for more than 10 seconds, then stop the recording. Save the file with the name ""MyTestAudio"".",['audio recorder'],1,N,"['Content Creation: Multimedia Creation', 'Device Configuration: Setting Adjustment']",N,1,Action Execution Task,12,1,ENG
005-SearchSportsScores,"Open the BBC Sports app, find and tap on the Football category, proceed to 'Scores & Fixtures', and then perform a search for 'Real Madrid'.",['BBC Sports'],1,N,"['Sports: Content Navigation', 'Sports: Data Extraction']",N,1,UI Interactive Output,8,1,ENG
006-SearchSportsScores,"Open the BBC Sports app, navigate into the Football section, open the 'Scores & Fixtures' view, and then execute a search for 'Bayern Munich'",['BBC Sports'],1,N,"['Sports: Content Navigation', 'Sports: Data Extraction']",N,1,UI Interactive Output,8,1,ENG
007-AddDetailedTransaction,"Open the bluecoins app, record an expense transaction for an amount of 89.95, named 'New Sneakers', in the 'Clothing' category, and assign the label 'Personal' to it.",['bluecoins'],1,N,['Financial Management: Add Transaction'],N,1,Action Execution Task,10,1,ENG
008-AddDetailedTransaction,"Open the bluecoins app, create an expense entry for a 'Summer Dress' with an amount of 65.00, categorized under 'Clothing', and add the 'Personal' label to the transaction.",['bluecoins'],1,N,['Financial Management: Add Transaction'],N,1,Action Execution Task,10,1,ENG
012-SetMeetingAlarmByWorldClock,"Open the Clock app and add 'Beijing, China' and 'Buenos Aires, Argentina' to the world clock. By comparing their current times, find a suitable meeting time for   tomorrow that falls between 9 AM and 11 PM in both cities. Then, set an alarm for this meeting, using the local time in Beijing as the reference.",['Clock'],1,N,"['Productivity: Time Management', 'Device Configuration: Setting Adjustment']",Y,1,Action Execution Task,15,1,ENG
015-CreateSimpleNote,"Open the joplin app, create a new note with the title ""Shopping List"" and the content ""Milk and bread"".",['joplin'],1,N,"['Productivity: Note Taking', 'Content Creation: Text Creation']",N,1,Action Execution Task,7,1,ENG
016-CreateSimpleNote,"Open the joplin app, create a new note with the title ""Meeting Minutes"" and the content ""Discuss progress on Project A"".",['joplin'],1,N,"['Productivity: Note Taking', 'Content Creation: Text Creation']",N,1,Action Execution Task,7,1,ENG
023-ToggleSystemSetting,Open the Setting app and go to the 'Navigation mode' settings. Find the 'Circle to Search' feature and turn its toggle switch to the off position.,['Setting'],1,N,['Device Configuration: Setting Adjustment'],N,1,Action Execution Task,6,1,ENG
026-FindAndCompareWikiStats,"Open the Wikipedia app, first search for 'Beijing' and remember its population. Next, search for 'Shanghai' and remember its population. Compare the two, and then go to and remain on the Wikipedia page for the city with the larger population",['Wikipedia'],1,N,"['Information Retrieval: Web Search', 'Information Retrieval: Data Extraction', 'Education & Learning: Knowledge Acquisition']",Y,1,Action Execution Task,13,1,ENG
027-NavigateAndCompareItems,"In the Wish app, identify two items: the cheapest in 'Jewelry & watches' -> 'Fashion jewelry' (from top 6), and the cheapest in the 'Watches' sub-category (from top 6). Remember the number of reviews for both. Navigate to the page of whichever of these two items has more reviews.",['Wish'],1,N,"['E-commerce: Category Navigation', 'E-commerce: Price Comparison', 'E-commerce: Review Analysis']",Y,2,UI Interactive Output,19,1,ENG
028-NavigateAndCompareItems,"In the Wish app, identify two items: the one with the most reviews in 'Office & tech' -> 'Parts & storage' (from top 6), and the one with the most reviews in the 'Hardware' sub-category (from top 6). Remember the price for both. Navigate to the page of whichever of these two items is cheaper.",['Wish'],1,N,"['E-commerce: Category Navigation', 'E-commerce: Review Analysis', 'E-commerce: Price Comparison']",Y,2,UI Interactive Output,19,1,ENG
