task_identifier,task_description,task_app,num_apps,is_cross_app,category,requires_ui_memory,shortcut_potential,output_type,golden_steps,task_difficulty,task_language
005-SearchSportsScores,"Open the BBC Sports app, find and tap on the Football category, proceed to 'Scores & Fixtures', and then perform a search for 'Real Madrid'.",['BBC Sports'],1,N,"['Sports: Content Navigation', 'Sports: Data Extraction']",N,1,UI Interactive Output,8,1,ENG
006-SearchSportsScores,"Open the BBC Sports app, navigate into the Football section, open the 'Scores & Fixtures' view, and then execute a search for 'Bayern Munich'",['BBC Sports'],1,N,"['Sports: Content Navigation', 'Sports: Data Extraction']",N,1,UI Interactive Output,8,1,ENG
009-MultiClockFunctions,"Open the Clock app. Add two new alarms: one for 7:30 AM tomorrow labeled ""Morning Workout"", and another for 10:15 PM tomorrow labeled ""Read Book"". Then, navigate to the world clock and add ""Tokyo, Japan"" and ""London, UK"". Finally, switch to the stopwatch and let it run for at least 15 seconds before stopping (but not resetting) it.",['Clock'],1,N,['Productivity: Time Management'],N,4,Action Execution Task,25,2,ENG
010-SetTimersAndManageWorldClock,"Open the Clock app. Navigate to the timer and set three timers simultaneously: one for 15 minutes labeled ""Laundry"", one for 45 minutes labeled ""Baking"", and one for 1 hour 30 minutes labeled ""Study Session"". After starting all three, go to the world clock, delete any existing cities, and add ""Sydney, Australia"".",['Clock'],1,N,"['Productivity: Time Management', 'Device Configuration: Setting Adjustment']",Y,4,Action Execution Task,28,2,ENG
015-CreateSimpleNote,"Open the joplin app, create a new note with the title ""Shopping List"" and the content ""Milk and bread"".",['joplin'],1,N,"['Productivity: Note Taking', 'Content Creation: Text Creation']",N,1,Action Execution Task,7,1,ENG
016-CreateSimpleNote,"Open the joplin app, create a new note with the title ""Meeting Minutes"" and the content ""Discuss progress on Project A"".",['joplin'],1,N,"['Productivity: Note Taking', 'Content Creation: Text Creation']",N,1,Action Execution Task,7,1,ENG
019-NavigateAndCompareItems,"In the Meesho app, first navigate to the 'Kids & Toys' -> 'Toys & Games' category. From the first five results, find the item with the best value (highest rating-to-price ratio) and remember its name. Then, repeat this process for the 'Baby Gears' category. Finally, navigate to the product page of the toy with the better value between the two you identified.",['Meesho'],1,N,"['E-commerce: Category Navigation', 'E-commerce: Price Comparison', 'E-commerce: Review Analysis', 'Productivity: Note Taking']",Y,2,UI Interactive Output,20,1,ENG
020-NavigateAndCompareItems,"In the Meesho app, first navigate to the 'Home & Kitchen' -> 'Kitchen Tools' category. From the first five results, find the item with the best value (highest rating-to-price ratio) and remember its name. Then, repeat this process for the 'Storage & Organizers' category. Finally, navigate to the product page of the item with the better value between the two you identified.",['Meesho'],1,N,"['E-commerce: Category Navigation', 'E-commerce: Price Comparison', 'E-commerce: Review Analysis']",Y,2,UI Interactive Output,20,1,ENG
021-NavigateAndComparePrices,"In the Net-a-Porter app, find the following four items: the first ""black"" handbag, the first ""leather"" belt, the first ""cashmere"" scarf, and the first pair of ""white"" sneakers. For each item, remember its price and its designer or brand name (prioritize designer). Identify the most and least expensive items. If the designer/brand of the most expensive item comes first alphabetically, navigate to its page. Otherwise, navigate to the page of the least expensive item.",['Net-a-Porter'],1,N,"['E-commerce: Product Search', 'Information Retrieval: Data Extraction', 'E-commerce: Price Comparison']",Y,4,UI Interactive Output,36,2,ENG
022-NavigateAndComparePrices,"In the Net-a-Porter app, find the following four items: the first ""red"" dress, the first pair of ""gold"" sandals, the first ""green"" skirt, and the first ""white"" top. For each item, remember its price and its designer or brand name (prioritize designer). Identify the most and least expensive items. If they are by the same designer/brand, navigate to the page of the most expensive item. Otherwise, navigate to the page of the least expensive item.",['Net-a-Porter'],1,N,"['E-commerce: Product Search', 'E-commerce: Price Comparison']",Y,4,UI Interactive Output,36,2,ENG
