task_identifier,task_description,task_app,num_apps,is_cross_app,category,requires_ui_memory,shortcut_potential,output_type,golden_steps,task_difficulty,task_language
001-FindProductAndFilter,"Open the Amazon app, search for ""running shoes for men"", then filter for the brand ""ASICS"" and size ""10"". ",['Amazon'],1,N,"['E-commerce: Product Search', 'E-commerce: Filter & Sort']",N,2,UI Interactive Output,11,1,ENG
002-FindProductAndFilter,"Open the Amazon app, search for ""women's handbag"", then filter for the brand ""ALDO"" and color ""Black"". ",['Amazon'],1,N,"['E-commerce: Product Search', 'E-commerce: Filter & Sort']",N,2,UI Interactive Output,11,1,ENG
003-RecordAndNameAudio,"Open the audio recorder app. Set the recording format to WAV, 48 kHz, Mono. Record an audio clip for more than 10 seconds, then stop the recording. Save the file with the name ""MyTestAudio"".",['audio recorder'],1,N,"['Content Creation: Multimedia Creation', 'Device Configuration: Setting Adjustment']",N,1,Action Execution Task,12,1,ENG
004-ConfigureRecordAndNameAudio,"Open the audio recorder app. Set the recording format to M4a, 8 kHz, 48kbps. Record an audio clip for more than 15 seconds, then stop the recording. Save the file with the name ""M4aTestAudio"".",['audio recorder'],1,N,"['Device Configuration: Setting Adjustment', 'Content Creation: Multimedia Creation']",N,1,Action Execution Task,12,1,ENG
005-SearchSportsScores,"Open the BBC Sports app, find and tap on the Football category, proceed to 'Scores & Fixtures', and then perform a search for 'Real Madrid'.",['BBC Sports'],1,N,"['Sports: Content Navigation', 'Sports: Data Extraction']",N,1,UI Interactive Output,8,1,ENG
006-SearchSportsScores,"Open the BBC Sports app, navigate into the Football section, open the 'Scores & Fixtures' view, and then execute a search for 'Bayern Munich'",['BBC Sports'],1,N,"['Sports: Content Navigation', 'Sports: Data Extraction']",N,1,UI Interactive Output,8,1,ENG
007-AddDetailedTransaction,"Open the bluecoins app, record an expense transaction for an amount of 89.95, named 'New Sneakers', in the 'Clothing' category, and assign the label 'Personal' to it.",['bluecoins'],1,N,['Financial Management: Add Transaction'],N,1,Action Execution Task,10,1,ENG
008-AddDetailedTransaction,"Open the bluecoins app, create an expense entry for a 'Summer Dress' with an amount of 65.00, categorized under 'Clothing', and add the 'Personal' label to the transaction.",['bluecoins'],1,N,['Financial Management: Add Transaction'],N,1,Action Execution Task,10,1,ENG
009-MultiClockFunctions,"Open the Clock app. Add two new alarms: one for 7:30 AM tomorrow labeled ""Morning Workout"", and another for 10:15 PM tomorrow labeled ""Read Book"". Then, navigate to the world clock and add ""Tokyo, Japan"" and ""London, UK"". Finally, switch to the stopwatch and let it run for at least 15 seconds before stopping (but not resetting) it.",['Clock'],1,N,['Productivity: Time Management'],N,4,Action Execution Task,25,2,ENG
010-SetTimersAndManageWorldClock,"Open the Clock app. Navigate to the timer and set three timers simultaneously: one for 15 minutes labeled ""Laundry"", one for 45 minutes labeled ""Baking"", and one for 1 hour 30 minutes labeled ""Study Session"". After starting all three, go to the world clock, delete any existing cities, and add ""Sydney, Australia"".",['Clock'],1,N,"['Productivity: Time Management', 'Device Configuration: Setting Adjustment']",Y,4,Action Execution Task,28,2,ENG
011-SetMeetingAlarmByWorldClock,"Open the Clock app and add 'Beijing, China' and 'New-York, USA' to the world clock. By comparing their current times, find a suitable meeting time for tomorrow that falls between 8 AM and 10 PM in both cities. Then, set an alarm for this meeting, using the local time in Beijing as the reference.",['Clock'],1,N,['Productivity: Time Management'],Y,1,Action Execution Task,13,1,ENG
012-SetMeetingAlarmByWorldClock,"Open the Clock app and add 'Beijing, China' and 'Buenos Aires, Argentina' to the world clock. By comparing their current times, find a suitable meeting time for   tomorrow that falls between 9 AM and 11 PM in both cities. Then, set an alarm for this meeting, using the local time in Beijing as the reference.",['Clock'],1,N,"['Productivity: Time Management', 'Device Configuration: Setting Adjustment']",Y,1,Action Execution Task,15,1,ENG
013-CompareCourseInfo,"In the Coursera app, search for courses offered by ""Stanford University"". For the first six courses in the search results, find and remember each course's star rating, total number of reviews, and number of available languages. Then, for all six courses, calculate a 'popularity score' (star rating * number of reviews * number of languages). Finally, navigate to the course page with the highest calculated popularity score.",['coursera'],1,N,"['Education & Learning: Course Search', 'Information Retrieval: Data Extraction', 'Education & Learning: Knowledge Acquisition']",Y,3,UI Interactive Output,29,2,ENG
